count,mean,std,min,max,q25,q75
3,1337466.67,385135.89,932000,1698400,1157000.0,1540200.0
4,1335000.0,903770.38,38400,2048000,1070100.0,1891700.0
4,1296400.0,479062.75,777600,1738800,946200.0,1684800.0
4,1550810.0,349705.22,1121160,1872000,1340550.0,1815300.0
4,2011100.0,949484.48,1102800,3335600,1523700.0,2290400.0
6,1426243.33,1326689.27,136000,3706260,404400.0,1822600.0
7,1200305.71,522696.67,483600,1695960,755020.0,1641200.0
7,1331331.43,485429.07,601200,1882400,1000400.0,1737460.0
7,1303740.0,744809.08,334000,2456400,788600.0,1789200.0
6,1740390.0,848412.94,984740,3221600,1098580.0,2020900.0
8,1431407.5,1189120.36,3600,3097340,570600.0,2378705.0
7,1890234.29,1010741.97,821600,3227020,992490.0,2678580.0
7,1801231.43,1502012.81,552000,4141160,757800.0,2589020.0
7,1890071.43,1392674.73,488800,4099520,1058060.0,2573080.0
7,1732588.57,1493550.39,595680,4810000,831180.0,1927530.0
7,1679011.43,1606228.78,572800,5090800,709440.0,1851460.0
7,1576360.0,1775469.62,431200,5459840,625430.0,1546710.0
7,1539434.29,1474012.46,531200,4681900,601970.0,1695060.0
7,1469865.71,1360344.76,518800,4400760,646130.0,1542180.0
8,1345595.0,1724811.39,110400,5468920,567205.0,1116510.0
8,1227910.0,1580497.91,256800,5059460,463300.0,1056930.0
8,1320932.5,1231245.45,77600,3962660,587900.0,1780900.0
8,1489307.5,1778758.73,67200,5528900,400480.0,1715325.0
8,1491060.0,1902578.65,8800,5750860,239895.0,1595770.0
6,1297230.0,1145334.13,184400,3502100,789605.0,1217085.0
6,658050.0,478255.02,182000,1428700,341500.0,915240.0
6,670409.33,647561.38,45960,1912698,388624.0,671265.0
